title,author,duration,start_date,finish_date,reading_speed,cover_url,percent_complete
Triptych,Karin Slaughter,13.60,04/25/2024 - 10:47 AM,04/27/2024 - 02:10 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPbkJYfEClfVGp_8iqN8BOfqYI81grrQK0eBtKQtovfc9kVn6d4aaJcy1wtz57aVTt2VLvR9DuaDZRIhGY2UIwntpQDInUydWGAtZxTXNNAhj2aI_Yu=w2400,100%
The Name of the Wind,Patrick Rothfuss,27.92,04/27/2024 - 02:11 PM,05/07/2024 - 08:49 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczOSljWRkyKQpO6uKawfJQ_9ciIiRJMnALP07PzN728TXJtOEyq_mXjzWg5DMGhFfeX8MRdaPn_T7bKI0AVSBvuRWuuW-163CFLrAuuNybZUsIKv8y7e=w2400,100%
The Things We Make,Bill Hammack,7.72,05/07/2024 - 11:22 PM,05/10/2024 - 07:30 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczNmbJKR9twAa7U3zNLoicz6fDEzNQ9clyTZuEfoPL64cWaiSNNVlfQoHaKU-xBp-yLVSov57orU_yLPfvZ-EoY3XxaW0nJHT6t9v4VlKUJ3wbD2Q8Nh=w2400,100%
Fractured,Karin Slaughter,12.88,05/10/2024 - 07:32 PM,05/15/2024 - 12:47 AM,2.0,https://lh3.googleusercontent.com/pw/AP1GczOaX9S36QqhWCaECUr-7ecMwyV8ydcQbkylTnWGaM1_Z2-TeMqL0-Up-kKsP2nxjyY-ZMApTzpBuHP-BW8RK_2CDCyrTnxmWp-uYOn8ihfUhiIb-nzY=w2400,100%
When the Bough Breaks,Jonathan Kellerman,12.87,05/15/2024 - 12:48 AM,05/19/2024 - 02:52 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPpFcx23DXyFLCWXz0foR5VpC78xJ2RXMoxXilKpXDzanfrWG4H8G0xa7HYK8m1nNOjUrjuOOeHLQQDan-whj3R5ttp2o3r3PlhzA3Z0h6qgiW3iQHp=w2400,100%
As You Wish,Cary Elwes,7.02,05/19/2024 - 11:46 PM,05/23/2024 - 09:11 PM,1.5,https://lh3.googleusercontent.com/pw/AP1GczNaCjRICFNkHTHPS10et4q43sDAw3CZ3oDhPMOuk6VVarxFiuAboiVjRLgh6tiQgeTBlTooMT2KRXkqyn27dgStVxS7OIjHx9CuEUwBxq8V5j_Oc0yd=w2400,100%
The Princess Bride,William Goldman,9.48,05/23/2024 - 09:14 PM,05/25/2024 - 05:42 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPTBObASD15yrwvXTXNqwE1kcNy2miGeaObeGYhvxB5soM_BscrBVN4VrJMDs1noe8QVnbDc0xYaNwI8vwAf2T0wI14WZFl9J_0zCZIi2lIEgvoSsX5=w2400,100%
Funny Story,Emily Henry,11.38,05/25/2024 - 05:52 PM,05/28/2024 - 01:45 AM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPzbtl7gaHDlETnoIF7lJlq2_NZ_FWBOs6UDyh0gDFextBJlo-adhYoK7VPBHwyYGfy8VOKY1UghC8DbY1id8jiYEqbkqJnkNhnQulXpweivegf7Dj_=w2400,100%
Steve Jobs,Walter Isaacson,25.08,05/28/2024 - 12:18 PM,06/05/2024 - 08:46 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczMDoCtzBzDA43hRkfy4riI-CbQVh61Jhh58Z9sRpcsFKB9aG3K3A2JjpHjSsXxdWbLw7ye0ntz-2CrfNFjKzJ4D6d3noUmIPdxE0fAI9BbWNgDLdX_r=w2400,100%
Undone,Karin Slaughter,14.10,06/05/2024 - 10:58 PM,06/11/2024 - 05:29 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczMQhkONx4u4F9pJ7RvQ3IF1DcwQRLQZ-O4j5mG4X-z2Tkj0uUmlmm5KW2r_gjR8gEvFfKJB4IfRPnNefyFc_EMLNxo2vFRhZU2ozaJn2SlcjxfwEJOY=w2400,100%
The Skystone,Jack Whyte,21.08,06/11/2024 - 05:29 PM,06/21/2024 - 12:54 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczOtCMZdBp5WNcZCVQDQYXkFii2htN5GkayHQd_JhvPyfiXYEB99eNUCt-J8VGYA7xeQbLeLDq3xkwTxsVBrGJErr2zAGL_0LkjvcNbGmMrPd-_v04ej=w2400,100%
The Forever War,Joe Haldeman,9.35,06/21/2024 - 12:54 PM,06/25/2024 - 12:59 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczOJM73I57ZKodw2ChUNV4QN2Hm9hH6P97hy5--7oCIc1ZuRypNucR49BkeM_yFsyNhg_Xh4jGgCjhT_k7FkrgwzmN5C2tPhSCho4LhBa8dj3kT8-wwZ=w2400,100%
The Collapsing Empire,John Scalzi,9.40,06/25/2024 - 12:59 PM,06/26/2024 - 11:41 PM,2.0,https://i.imgur.com/uF8JLzy.jpeg,100%
Broken,Karin Slaughter,12.73,06/27/2024 - 11:57 AM,07/01/2024 - 01:44 AM,2.1,https://lh3.googleusercontent.com/pw/AP1GczMPJ7Jv56FRltuX_8eVwxZj0GadIJnMS_IhhXy_zhKkrovvfJqeCybyHUie5jfvwgUnE9u8LOF1QpoAj-pQt4uu6y0jOtb_uoCLpBVUWkBkOXEJYalt=w2400,100%
The Adventures of Tom Sawyer,Mark Twain,7.37,07/01/2024 - 01:44 AM,07/03/2024 - 02:50 PM,1.8,https://lh3.googleusercontent.com/pw/AP1GczNe2JYIGqjlufNhcEKbbh9KaoebA9j-zCfyTQcDakzKin3C4F_lO05txy0_dPEFyvTnPVhO1R9g2S8dCnVPP6NxdYwS9HKL6l8sWytUtuwgafUKNkRb=w2400,100%
14,Peter Clines,12.57,07/03/2024 - 02:57 PM,07/07/2024 - 02:15 AM,2.0,https://lh3.googleusercontent.com/pw/AP1GczNASx4OWzjOXKDOmzqWxPi77KYRnVxHeT-g_RLCYL5zKg3LQLmKM0jw9-dU1f-qCMe5BWbOLYWKQojdOqCekX6D5ggrT3PICXhRGzj4YgLuwuB7ZKzn=w2400,100%
Nexus,Ramez Naam,13.22,07/07/2024 - 02:16 AM,07/10/2024 - 11:15 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPIoKGnRGis1qN8Pben9EYwWfDzAd6SGIPbA7ay-fHgT-4aEAcC_lUsm_Lv_fX1O6nXuhyPm6KZAGFgtIW2k3OGGGc45V7mXzc5lyKsLFTDbUlzCvac=w2400,100%
Project Hail Mary,Andy Weir,16.17,07/10/2024 - 11:15 PM,07/14/2024 - 11:59 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPdnYnZw-J5Mm-R7yAVLgL3n1rIu5Xe1rB9ddmfGfSnsM8C9X_KIAKoef7zN-m1d-GC15HN3OaFhAr28K9zyo27LQ3wmvssMHPggTN-mXLawe6UzVU3=w2400,100%
A Walk in the Woods,Bill Bryson,9.53,07/17/2024 - 02:10 PM,07/21/2024 - 01:19 AM,2.0,https://i.imgur.com/OVzVKuz.jpg,100%
Liquid Rules,Mark Miodownik,7.27,07/21/2024 - 01:35 AM,07/25/2024 - 02:51 PM,1.5,https://i.imgur.com/OYhB9wW.png,100%
The Lies of Locke Lamora,Scott Lynch,21.88,07/25/2024 - 11:32 PM,08/05/2024 - 01:05 PM,1.7,https://i.imgur.com/Dbwobgl.png,100%
